alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
0.0,0.7,37,0.12777711007526946,0.1304980918199392,0.11984121118404256,0.14072512723881314
0.0,0.7,38,0.12850283467019555,0.1304805195124609,0.11816440581073911,0.11496396449484836
0.0,0.7,39,0.12900680403593018,0.13046831014298046,0.11731173204494781,0.12139671427935732
0.0,0.7,40,0.12935677529848988,0.13045982082379223,0.11441409396217875,0.11278313806108277
0.0,0.7,41,0.12959980107317837,0.13045391020336583,0.10160003504040233,0.11273582681209773
0.0,0.7,42,0.1297685563328484,0.13044978641275598,0.08779437301315618,0.10066584975621005
0.0,0.7,43,0.12988572451429847,0.13044687555627407,0.09878634288505923,0.12505421326364685
0.0,0.7,44,0.1299670558152631,0.1304447893446697,0.09556017066879223,0.12975129622529083
0.0,0.7,45,0.13002347615632048,0.13044322416178072,0.10334798373270894,0.13098197798692954
0.0,0.7,46,0.13006256271358355,0.13044196224900734,0.0972414114848963,0.12273188737133137
0.0,0.7,47,0.1300895533032819,0.13044079591374103,0.11292185316220373,0.10946933506001344
0.0,0.7,48,0.13010803922231945,0.1304394834939555,0.114517268186132,0.12349621869958492
0.0,0.7,49,0.13012044974008066,0.13043774889191373,0.10783269714911609,0.11161976058475545
0.0,0.7,50,0.1301283695575653,0.13043521009173964,0.11675314821725642,0.12295338565712906
0.0,0.7,51,0.13013271981860386,0.13043124224611988,0.11171837042930442,0.10329371935042267
0.0,0.7,52,0.13013908835597085,0.13044233570616717,0.13004344381478913,0.1371320883313586
0.0,0.8,1,-0.00217968962940346,0.004068273494417016,-0.0007607435945875315,-9.268560156718652e-5
0.0,0.8,2,-0.0008211526844745672,0.004619744663576676,-0.0015197791790093904,-0.003722888986393038
0.0,0.8,3,0.0003644486009869845,0.005123429593235707,-0.0034395786414300506,-0.009712280266911351
0.0,0.8,4,0.0013967391302242861,0.0055486321090382415,-0.002592067120631338,0.0009656708145117902
0.0,0.8,5,0.002277986044519525,0.005830200698450377,0.00011624143968218519,0.008858172135269037
0.0,0.8,6,0.003055128110161217,0.006194585031237046,-0.00044761821555490346,-0.0016985432484186603
0.0,0.8,7,0.0037696005245301378,0.0066616070324096105,-0.0001360126374876417,0.0002646009479329489
0.0,0.8,8,0.004459720041509319,0.0072573616887917506,0.0005913057110388253,0.003785284879187656
0.0,0.8,9,0.005162810158048172,0.008015396556614564,-0.001201119032602116,-0.007625927758318684
0.0,0.8,10,0.005917294093575243,0.008978715285595077,0.0005977594612066852,0.0062492828059905895
0.0,0.8,11,0.006764818313252865,0.010202044023621418,0.0017351560120851687,0.005886080682446792
0.0,0.8,12,0.007752570838393417,0.011754943471230999,0.004899612325310396,0.014808833039055419
0.0,0.8,13,0.008935929917677691,0.013725792307804139,0.009096935327752546,0.02116795826780387
0.0,0.8,14,0.010381561586283436,0.016226694537165368,0.0113625952394649,0.019471811377116004
